Id,Nom,Cle,Description,type,Source
72,Bâton de givre,baton-de-givre ,"Vous obtenez la résistance aux dégâts de froid tant que vous tenez ce bâton.

","Bâton, très rare (nécessite un lien avec un druide, un ensorceleur, un magicien ou un occultiste)",Dungeon Master´s Guide (SRD)
73,Bâton de grand essaim,baton-de-grand-essaim ,"Ce bâton possède 10 charges et récupère 1d6 + 4 charges dépensées chaque jour à l'aube. Si vous dépensez la dernière charge, lancez un d20. Sur un résultat de 1, un essaim d'insectes consomme et détruit le bâton, puis disparaît.

","Bâton, rare (nécessite un lien avec un barde, un clerc, un druide, un ensorceleur, un magicien ou un occultiste)",Dungeon Master´s Guide (SRD)
74,Bâton de guérison,baton-de-guerison ,"Ce bâton possède 10 charges. Tant que vous le tenez, vous pouvez utiliser une action pour dépenser 1 ou plusieurs charges afin de lancer l'un des sorts suivants tout en utilisant votre propre DD des sorts et le modificateur de votre caractéristique d'incantation : <a href=""https://www.aidedd.org/dnd/sorts.php?vf=soins"">soins</a> (1 charge par niveau d'emplacement de sort, jusqu'au niveau 4 maximum), <a href=""https://www.aidedd.org/dnd/sorts.php?vf=restauration-partielle"">restauration partielle</a> (2 charges) ou <a href=""https://www.aidedd.org/dnd/sorts.php?vf=soins-de-groupe"">soins de groupe</a> (5 charges).

","Bâton, rare (nécessite un lien avec un barde, un clerc ou un druide)",Dungeon Master´s Guide (SRD)
75,Bâton de la vipère,baton-de-la-vipere ,"Vous pouvez utiliser une action bonus pour prononcer le mot de commande de ce bâton et ainsi animer la tête du bâton qui devient alors un serpent venimeux pendant 1 minute. En utilisant une autre action bonus pour prononcer de nouveau le mort de commande, vous faites revenir le bâton à sa forme initiale.

","Bâton, peu commun (nécessite un lien avec un clerc, un druide ou un occultiste)",Dungeon Master´s Guide
76,Bâton de surpuissance,baton-de-surpuissance ,"Ce bâton peut être utilisé comme un bâton (arme) magique conférant un bonus de +2 aux jets d'attaque et de dégâts effectués avec lui. Tant que vous le tenez, vous gagnez un bonus de +2 à la Classe d'Armure, aux jets de sauvegarde, et aux jets d'attaque avec un sort.

","Bâton, très rare (nécessite un lien avec un ensorceleur, un magicien ou un occultiste)",Dungeon Master´s Guide (SRD)
77,Bâton de tonnerre et de foudre,baton-de-tonnerre-et-de-foudre ,"Ce bâton peut être manié comme un bâton magique qui octroie un bonus de +2 à l'attaque et aux dégâts. Il a également les propriétés supplémentaires suivantes. Quand une de ces propriétés est utilisée, elle ne peut être réutilisée avant la prochaine aube.

","Bâton, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
78,Bâton des chants d'oiseaux,baton-des-chants-d-oiseaux ,"Ce bâton en bois est décoré de sculptures d'oiseaux et possède 10 charges. Lorsque vous le tenez, vous pouvez utiliser une action pour dépenser 1 charge et lui faire créer l'un des sons suivants jusqu'à une portée de 18 mètres : le gazouillis d'un pinson, le croassement d'un corbeau, le cancan d'un canard, le gloussement d'une poule, celui-ci d'une oie, l'appel d'un huard, le glouglou d'une dinde, le cri d'une mouette, le hululement d'un hibou ou le cri d'un aigle. Le bâton récupère 1d6 + 4 charges dépensées chaque jour à l'aube. Si vous dépensez la dernière charge, lancez un d20. Sur un résultat de 1, le bâton explose en un nuage inoffensif de plumes d'oiseaux et est perdu à jamais.

","Bâton, commun",Xanathar´s Guide to Everything
79,Bâton des forêts,baton-des-forets ,"Ce bâton peut être manié comme un bâton magique qui octroie un bonus de +2 à l'attaque et aux dégâts. Lorsque vous le tenez, vous obtenez un bonus de +2 aux jets d'attaque des sorts.

","Bâton, rare (nécessite un lien par un druide)",Dungeon Master´s Guide (SRD)
80,Bâton du python,baton-du-python ,"Vous pouvez utiliser une action pour prononcer le mot de commande du bâton et le lancer au sol dans un rayon de 3 mètres autour de vous. Le bâton devient un serpent constricteur géant (voir le Manuel des Monstres pour les statistiques) sous votre contrôle et qui agit selon son propre score d'initiative. En utilisant une action bonus pour prononcer de nouveau le mot de commande, le bâton reprend sa forme originale dans l'espace qu'occupait le serpent.

","Bâton, peu commun (nécessite un lien par un clerc, un druide ou un occultiste)",Dungeon Master´s Guide (SRD)
81,Bâton du thaumaturge,baton-du-thaumaturge ,"Ce bâton peut être utilisé comme un bâton (arme) magique conférant un bonus de +2 aux jets d'attaque et de dégâts effectués avec lui. Tant que vous le tenez, vous bénéficiez d'un bonus de +2 aux jets d'attaque des sorts.

","Bâton, légendaire (nécessite un lien avec un ensorceleur, un magicien ou un occultiste)",Dungeon Master´s Guide (SRD)
82,Bâton floral,baton-floral ,"Ce bâton en bois possède 10 charges. Lorsque vous le tenez, vous pouvez utiliser une action pour dépenser 1 charge et faire germer une fleur sur une parcelle de terre à 1,50 mètre ou moins de vous, ou depuis le bâton. À moins que vous ne choisissiez un type de fleur spécifique, le personnel crée une marguerite au parfum doux. La fleur est inoffensive et non magique, et elle pousse ou se fane comme le ferait une fleur normale. Le bâton récupère 1d6 + 4 charges dépensées chaque jour à l'aube. Si vous dépensez la dernière charge, lancez un d20. Sur un résultat de 1, le bâton se transforme en pétales de fleurs et est perdu à jamais.

","Bâton, commun",Xanathar´s Guide to Everything
83,Bâton orné,baton-orne ,"Si vous placez un objet ne pesant pas plus de 500 grammes (comme un éclat de cristal, un œuf ou une pierre) au-dessus du bout du bâton tout en le tenant, l'objet flotte 2,50 cm au dessus du bout du bâton et y reste jusqu'à ce qu'il soit enlevé ou jusqu'à ce que le bâton ne soit plus en votre possession. Le bâton peut avoir jusqu'à trois objets flottant au-dessus de sa pointe à un moment donné. Lorsque vous tenez le bâton, vous pouvez faire tourner lentement un ou plusieurs objets sur place.

","Bâton, commun",Xanathar´s Guide to Everything
84,Bâton percussif,baton-percussif ,"Ce bâton peut être utilisé comme une arme magique conférant un bonus de +3 aux jets d'attaque et de dégâts effectués avec lui.

","Bâton, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
85,Baume de Keoghtom,baume-de-keoghtom ,"Ce pot de verre, de 7,50 cm de diamètre, contient 1d4 + 1 doses d'un mélange épais qui sent vaguement l'aloès. Le pot et son contenu pèsent 500 g. Au prix d'une action, une dose de l'onguent peut être avalée ou appliquée sur la peau. La créature qui le reçoit récupère 2d8 + 2 points de vie, cesse d'être empoisonnée, et est guérie de toute maladie.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
86,Bottes ailées,bottes-ailees ,"Tant que vous êtes équipé de ces bottes, vous avez une vitesse de vol égale à votre vitesse de déplacement. Vous pouvez utiliser les bottes pour voler pendant une durée de 4 heures maximum, que ce soit en une seule fois ou en cumulant plusieurs vols de courte durée, chaque utilisation des bottes consommant au minimum 1 minute de la durée d'utilisation total. Si vous êtes en plein vol lorsque la durée expire, vous descendez jusqu'au sol avec une allure de 9 mètres par round.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
87,Bottes d'empreintes factices,bottes-d-empreintes-factices ,"Seuls les humanoïdes peuvent porter ces bottes. En les portant, vous pouvez choisir de laisser des traces d'un autre type d'humanoïde de votre taille.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
88,Bottes de lévitation,bottes-de-levitation ,"Lorsque vous portez ces bottes, vous pouvez utiliser une action pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=levitation"">lévitation</a> sur vous-même à volonté.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
89,Bottes de rapidité,bottes-de-rapidite ,"Lorsque vous portez ces bottes, vous pouvez utiliser une action bonus pour claquer vos talons l'un contre l'autre. Si vous le faites, les bottes doublent votre vitesse de marche et toute créature qui tente une attaque d'opportunité à votre encontre le fait avec un désavantage au jet d'attaque. Claquer des talons de nouveau permet de mettre fin à l'effet.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
90,Bottes de sept lieues,bottes-de-sept-lieues ,"Lorsque vous portez ces bottes, votre vitesse de marche passe à 9 mètres, à moins qu'elle ne soit déjà supérieure à cela, et votre vitesse n'est pas réduite par le fait d'être encombré ou de porter une armure lourde. En outre, vous pouvez sauter trois fois la distance normale, bien que vous ne puissiez pas sauter plus loin que ce qu'il vous reste de mouvement le permet.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
91,Bottes des terres gelées,bottes-des-terres-gelees ,"Ces bottes de fourrure sont chaudes et confortables. Tant que vous les portez, vous profitez des bénéfices suivants :

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
92,Bottes elfiques,bottes-elfiques ,"Lorsque vous portez ces bottes, vos pas ne produisent aucun son, quelle que soit la surface sur laquelle vous vous déplacez. Vous avez également un avantage aux jets de Dextérité (Discrétion) liés à un déplacement silencieux.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
93,"Bouclier +1, +2 ou +3",bouclier-1-2-ou-3 ,"Si vous tenez en main ce bouclier, vous obtenez un bonus à la CA déterminé par la rareté du bouclier. Ce bonus vient en plus du bonus normal du bouclier à la CA.

","Armure (bouclier), peu commun (+1) rare (+2) ou très rare (+3)",Dungeon Master´s Guide (SRD)
94,Bouclier animé,bouclier-anime ,"Lorsque vous tenez ce bouclier, vous pouvez prononcer son mot de commande au prix d'une action bonus pour l'animer. Le bouclier saute alors en l'air et flotte dans votre espace pour vous protéger comme si vous le maniez, mais en vous laissant les mains libres. Le bouclier reste animé pendant 1 minute, jusqu'à ce que vous utilisiez une action bonus pour mettre fin à l'effet, ou jusqu'à ce que vous soyez incapable d'agir ou mort. Le bouclier tombe alors au sol ou dans une de vos mains si vous en avez une de libre.

","Armure (bouclier), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
95,Bouclier antiprojectiles,bouclier-antiprojectiles ,"Vous gagnez un bonus de +2 à la CA contre les attaques à distance lorsque vous maniez ce bouclier. Ce bonus vient en plus du bonus normal à la CA du bouclier. En outre, chaque fois qu'un attaquant effectue une attaque à distance contre une cible à 1,50 mètre ou moins de vous, vous pouvez utiliser votre réaction pour devenir la cible de l'attaque.

","Armure (bouclier), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
96,Bouclier d'attraction des projectiles,bouclier-d-attraction-des-projectiles ,"Tant que vous tenez ce bouclier, vous avez la résistance aux dégâts des attaques à distance avec une arme.

","Armure (bouclier), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
97,Bouclier expressif,bouclier-expressif ,"Le devant de ce bouclier a la forme d'un visage. Lorsque vous portez le bouclier, vous pouvez utiliser une action bonus pour modifier l'expression des visages.

","Armure (bouclier), commun",Xanathar´s Guide to Everything
98,Bouclier gardesort,bouclier-gardesort ,"Tant que vous tenez ce bouclier, vous avez un avantage à vos jets de sauvegarde effectués contre des sorts ou tout autre effet magique, et les attaques avec un sort ont un désavantage contre vous.

","Armure (bouclier), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
99,Bouclier sentinelle,bouclier-sentinelle ,"Tant que vous êtes équipé de ce bouclier, vous avez un avantage à vos jets d'initiative et à vos jets de Sagesse (Perception). Le bouclier est décoré d'un symbole représentant un œil.

","Armure (bouclier), peu commun",Dungeon Master´s Guide
100,Boule de cristal,boule-de-cristal ,"La boule de cristal typique, un objet très rare, a un diamètre de 15 cm. Tant que vous la touchez, vous pouvez lancer un sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=scrutation"">scrutation</a> (sauvegarde DD 17) grâce à elle.

","Objet merveilleux, très rare ou légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
101,Bourse à épices magique d'Heward,bourse-a-epices-magique-d-heward ,"Cette bourse semble vide et possède de 10 charges. Lorsque vous la tenez, vous pouvez utiliser une action pour dépenser 1 de ses charges, prononcer le nom d'un assaisonnement alimentaire non magique (sel, poivre, safran ou coriandre par exemple) et retirer une pincée de l'assaisonnement désiré du sachet. Une pincée suffit pour assaisonner un repas. La bourse récupère 1d6 + 4 charges dépensées chaque jour à l'aube.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
102,Bouteille de l'éfrit,bouteille-de-l-efrit ,"Cette bouteille en laiton peinte pèse 500 grammes. Lorsque vous utilisez une action pour en retirer le bouchon, un épais nuage de fumée se déverse de la bouteille. À la fin de votre tour, la fumée disparaît en une myriade de flammèches inoffensives, et un éfrit apparaît dans un espace inoccupé dans un rayon de 9 mètres autour de vous.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
103,Bouteille fumigène,bouteille-fumigene ,"De la fumée s'échappe de l'orifice de cette bouteille en laiton fermée par un bouchon de plomb. La bouteille pèse 500 grammes. Lorsque vous utilisez votre action pour enlever le bouchon, un épais nuage de fumée s'échappe de la bouteille dans un rayon de 18 mètres. La zone a une visibilité nulle. Chaque minute que la bouteille reste ouverte tout en étant dans le nuage, le rayon augmente de 3 mètres jusqu'à atteindre un rayon maximum de 36 mètres.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
104,Bracelets d'archer,bracelets-d-archer ,"Tant que vous portez ces bracelets, vous avez la maîtrise des arcs longs et courts, et vous gagnez un bonus de +2 aux jets de dégâts des attaques à distance réalisés avec ces armes.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
105,Bracelets de défense,bracelets-de-defense ,"Lorsque vous portez ces bracelets, vous obtenez un bonus de +2 à votre CA, à condition de ne porter aucune armure et de ne pas utiliser de bouclier.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
106,Brasero de contrôle des élémentaires du feu,brasero-de-controle-des-elementaires-du-feu ,"Tant qu'un feu brûle dans ce brasero en cuivre, vous pouvez utiliser une action pour prononcer son mot de commande et convoquer un élémentaire du feu, comme si vous aviez lancé le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=invocation-d-elementaire"">invocation d'élémentaire</a>. Le brasero ne peut plus être utilisé de cette façon avant la prochaine aube. Le brasero pèse 2,5 kg.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
107,Broche de défense,broche-de-defense ,"Tant que vous portez cette broche, vous obtenez la résistance aux dégâts de force, et êtes immunisé aux dégâts du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=projectile-magique"">projectile magique</a>.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
108,Cadenas sournois,cadenas-sournois ,"Cette serrure semble être une serrure ordinaire et vient avec une seule clé. Ses gobelets s'ajustent magiquement pour frustrer les cambrioleurs. Les jets de Dextérité effectués pour crocheter la serrure ont un désavantage.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
109,Canne de vétéran,canne-de-veteran ,"Lorsque vous saisissez cette canne et utilisez une action bonus pour prononcer le mot de commande, elle se transforme en une épée longue ordinaire et cesse d'être magique.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
110,Cape à la mode,cape-a-la-mode ,"Lorsque vous portez cette cape, vous pouvez utiliser une action bonus pour changer le style, la couleur et la qualité apparente du vêtement. Le poids de la cape ne change pas. Quelle que soit son apparence, la cape ne peut être qu'une cape. Bien qu'ele puisse reproduire l'apparence de capes magiques, elle n'acquiert aucune de leurs propriétés magiques.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
111,Cape d'invisibilité,cape-d-invisibilite ,"Tant que vous êtes équipé de cette cape, vous pouvez rabattre sa capuche sur votre tête ce qui a pour effet de vous rendre invisible. Tant que vous êtes invisible, tout ce que vous portez ou transportez est également invisible. Vous redevenez visible lorsque vous retirez votre capuche. Mettre ou enlever la capuche nécessite une action.

","Objet merveilleux, légendaire (nécessite un lien)",Dungeon Master´s Guide
112,Cape de déplacement,cape-de-deplacement ,"Tant que vous êtes équipé de cette cape, elle projette une illusion de vous proche de là où vous vous trouvez. De fait, les créatures ont un désavantage aux jets d'attaque effectués contre vous. Si vous subissez des dégâts, la propriété de la cape cesse de fonctionner jusqu'au début de votre prochain tour. Cette capacité est annulée si vous être incapable d'agir, entravé, ou incapable de bouger de quelle que manière que ce soit.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
113,Cape de l'arachnide,cape-de-l-arachnide ,"Ce vêtement délicat a été tressé à partir de soie noire et de discrets fils d'argent. Tant que vous en êtes équipé, vous gagnez les avantages suivants :

","Objet merveilleux, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
114,Cape de la chauve-souris,cape-de-la-chauve-souris ,"Tant que vous êtes équipé de cette cape, vous avez un avantage aux jets de Dextérité (Discrétion). Dans une zone de lumière faible ou de ténèbres, vous pouvez attraper les bords de la cape avec vos deux mains et l'utiliser pour voler avec une vitesse de 12 mètres. Si par malheur vous lâchez les bords de la cape alors que vous êtes en train de voler grâce à elle, ou si vous ne vous trouvez plus dans une zone de lumière faible ou de ténèbres, vous perdez cette vitesse de vol.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
115,Cape de la raie manta,cape-de-la-raie-manta ,"Tant que vous êtes équipé de cette cape et que vous avez enfilé sa capuche, vous pouvez respirer sous l'eau, et vous obtenez une vitesse de nage de 18 mètres. Enfiler ou retirer la capuche prend une action.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
116,Cape de protection,cape-de-protection ,"Vous bénéficiez d'un bonus de +1 à la CA et aux jets de sauvegarde tant que vous êtes équipé de cette cape.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
117,Cape de vol,cape-de-vol ,"Lorsque vous portez cette cape, vous pouvez utiliser une action pour prononcer son mot de commande. Cela transforme la cape en une paire d'ailes de chauve-souris ou d'oiseau sur votre dos pendant 1 heure, ou jusqu'à ce que vous répétiez le mot de commande au prix d'une action. Les ailes vous donnent une vitesse de vol de 18 mètres. Quand elles disparaissent, vous ne pouvez plus les réutiliser durant 1d12 heures.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
118,Cape du prestidigitateur,cape-du-prestidigitateur ,"Cette cape sent légèrement le soufre. Tant que vous en êtes équipé, vous pouvez vous en servir, en utilisant votre action, pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=porte-dimensionnelle"">porte dimensionnelle</a>. Cette propriété de la cape ne peut être réutilisée avant la prochaine aube.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
119,Cape elfique,cape-elfique ,"Lorsque vous portez cette cape avec sa capuche rabattue sur votre tête, les jets de Sagesse (Perception) pour vous voir ont un désavantage, et vous avez un avantage aux jets de Dextérité (Discrétion) pour vous cacher, grâce aux changements de couleur de la cape qui vous aident à vous camoufler. Mettre ou enlever la capuche nécessite une action.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
120,Cape virevoltante,cape-virevoltante ,"Lorsque vous portez cette cape, vous pouvez utiliser une action bonus pour la faire tournoyer de façon spectaculaire.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
121,Capuchon de respiration aquatique,capuchon-de-respiration-aquatique ,"Si vous rabattez sur votre tête ce capuchon et que vous êtes sous l'eau, vous pouvez, en utilisant une action, prononcer son mot de commande et ainsi créer une boule d'air autour de votre tête. Celle-ci vous permet de respirer normalement sous l'eau. Cette bulle reste en place jusqu'à ce que vous prononciez de nouveau le mot de commande, que vous quittiez le capuchon, ou que vous ne soyez plus immergé.

","Objet merveilleux, peu commun",Dungeon Master´s Guide
122,Carafe intarissable,carafe-intarissable ,"Cette flasque bouchée fait de petits clapotis lorsqu'elle est secouée, comme si elle contenait de l'eau. La carafe pèse 1 kg.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
123,Carillon d'ouverture,carillon-d-ouverture ,"Ce tube de métal creux mesure environ 30 cm de long et pèse 500 grammes. Vous pouvez le frapper en utilisant une action, et le pointer vers un objet pouvant être ouvert et se trouvant à 36 mètres de vous maximum, comme une porte, un couvercle ou une serrure. En faisant cela, le carillon sonne d'un ton clair, et une serrure ou un loquet sur l'objet s'ouvre, à moins que le son ne puisse pas atteindre l'objet. S'il ne reste aucune serrure ou loquet en place, l'objet s'ouvre de lui-même. Le carillon peut être utilisé dix fois. Après ces dix utilisations, il se fissure et ne sert plus à rien.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
124,Carquois d'Ehlonna,carquois-d-ehlonna ,"Chacun des trois compartiments du carquois est connecté à un espace extradimensionnel qui permet au carquois de contenir un grand nombre d'objets tout en ne pesant jamais plus de 1 kg au total. Le plus petit compartiment peut contenir jusqu'à 60 flèches, carreaux, ou objets similaires. Le compartiment de taille moyenne peut contenir jusqu'à 18 javelines ou objets similaires. Le plus grand compartiment peut contenir jusqu'à 6 longs objets, comme un arc, un bâton, ou une lance.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
125,Cartes d'illusion,cartes-d-illusion ,"L'étui contient un ensemble de cartes en parchemin. Un jeu complet comprend 34 cartes. Un paquet trouvé dans un trésor a généralement perdu 1d20 - 1 cartes.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
126,Cartes merveilleuses,cartes-merveilleuses ,"Généralement découvert dans un boitier ou une pochette, ce jeu de carte contient un certain nombre de cartes faites en ivoire ou en vélin. La plupart (75 %) de ces jeux de carte ne contiennent que 13 cartes, mais les autres en comptent 22.

","Objet merveilleux, légendaire",Dungeon Master´s Guide (SRD)
127,Ceinturon de force de géant,ceinturon-de-force-de-geant ,"Tant que vous portez ce ceinturon, votre valeur de Force change pour celle conférée par le ceinturon. L'objet n'a aucun effet sur vous si votre Force sans la ceinture est égale ou supérieure à celle du ceinturon.

","Objet merveilleux, variable (nécessite un lien)",Dungeon Master´s Guide (SRD)
128,Ceinturon des nains,ceinturon-des-nains ,"Tant que vous êtes équipé de cette ceinture, vous gagnez les bénéfices suivants :

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
129,Chandelle des profondeurs,chandelle-des-profondeurs ,"La flamme de cette bougie ne s'éteint pas lorsqu'elle est immergée dans l'eau. Elle émet de la lumière et de la chaleur comme une bougie normale.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
130,Chapeau de déguisement,chapeau-de-deguisement ,"Tant que vous êtes équipé de ce chapeau, vous pouvez à volonté, par une action, l'utiliser pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=deguisement"">déguisement</a>. Le sort prend fin si le couvre-chef est retiré.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
131,Chapeau de magicien,chapeau-de-magicien ,"Ce chapeau désuet en forme de cône est orné de croissants de lune et d'étoiles dorés. Tant que vous le portez, vous bénéficiez des avantages suivants :

","Objet merveilleux, commun (nécessite un lien avec un magicien)",Xanathar´s Guide to Everything
132,Chapeau de vermine,chapeau-de-vermine ,"Ce chapeau possède 3 charges. Lorsque vous le tenez, vous pouvez utiliser une action pour dépenser 1 de ses charges et prononcer un mot de commande qui invoque au choix une chauve-souris, une grenouille ou un rat. La créature invoquée apparaît magiquement dans le chapeau et essaie de s'éloigner de vous le plus rapidement possible. La créature n'est ni amicale ni hostile, et elle n'est pas sous votre contrôle. Elle se comporte comme une créature ordinaire de son espèce et disparaît après 1 heure ou si elle tombe à 0 point de vie. Le chapeau récupère toutes les charges dépensées chaque jour à l'aube.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
133,Chaussons de pattes d'araignée,chaussons-de-pattes-d-araignee ,"Lorsque vous portez ces chaussures légères, vous pouvez monter, descendre et parcourir des surfaces verticales ou la tête à l'envers aux plafonds, tout en ayant les mains libres. Votre vitesse d'escalade est égale à votre vitesse de marche. Cependant, les chaussons ne vous permettent pas de vous déplacer de cette façon sur une surface glissante, comme sur de la glace ou de l'huile.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
134,Chope de sobriété,chope-de-sobriete ,"Cette chope est sculpté d'un visage sévère sur un côté. Vous pouvez y boire de la bière, du vin ou toute autre boisson alcoolisée non magique sans vous enivrer. La chope n'a aucun effet sur les liquides magiques ou les substances nocives telles que le poison.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
135,Cierge d'invocation,cierge-d-invocation ,"Cette mince chandelle est dédiée à une divinité et partage l'alignement de cette divinité. L'alignement du cierge peut être détecté avec un sort de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=detection-du-mal-et-du-bien"">détection du mal et du bien</a>. Le MD choisit le dieu et l'alignement qui lui est associé ou détermine l'alignement du cierge de manière aléatoire.

","Objet merveilleux, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
136,Cimeterre de rapidité,cimeterre-de-rapidite ,"Vous gagnez un bonus de +2 aux jets d'attaque et de dégâts effectués avec cette arme magique. De plus, vous pouvez à chacun de vos tours effectuer une attaque avec cette arme en utilisant votre action bonus.

","Arme (cimeterre), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
137,Clé mystérieuse,cle-mysterieuse ,"Un point d'interrogation est gravé sur la tête de cette clé. La clé a 5% de chances de déverrouiller n'importe quelle serrure dans laquelle elle est insérée. Une fois qu'elle a déverrouillé quelque chose, la clé disparaît.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
138,Colle universelle,colle-universelle ,"Cette visqueuse substance d'un blanc laiteux peut créer un lien adhésif permanent entre deux objets. Elle doit être stockée dans un pot ou une flasque dont l'intérieur a été au préalable enduit d'une huile d'insaisissabilité. Lorsqu'il est découvert le contenant renferme 1d6 + 1 doses.

","Objet merveilleux, légendaire",Dungeon Master´s Guide (SRD)
139,Collier d'adaptation,collier-d-adaptation ,"Lorsque vous portez ce collier, vous pouvez respirer normalement dans tout environnement, et vous avez un avantage aux jets de sauvegarde contre les vapeurs et gaz nocifs (comme les effets de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=brume-mortelle"">brume mortelle</a> et de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=nuage-nauseabond"">nuage nauséabond</a>, les poisons inhalés et les armes de souffle de certains dragons).

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
140,Collier de boules de feu,collier-de-boules-de-feu ,"Ce collier possède 1d6 + 3 perles. Vous pouvez utiliser une action pour détacher une perle et la jeter jusqu'à 18 mètres de distance. Quand elle atteint la fin de sa trajectoire, la perle explose comme une <a href=""https://www.aidedd.org/dnd/sorts.php?vf=boule-de-feu"">boule de feu</a> de niveau 3 (sauvegarde DD 15).

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
141,Collier de perles de prière,collier-de-perles-de-priere ,"Ce collier possède 1d4 + 2 perles magiques fabriquées à partir d'aigue-marine, de perle noire ou de topaze. Il comporte également de nombreuses perles non magiques fabriquées à partir de pierres telles que l'ambre, l'héliotrope, la citrine, le corail, le jade, la perle ou le quartz. Si une perle magique est retirée du collier, celle-ci perd sa magie.

","Objet merveilleux, rare (nécessite un lien par un clerc, druide ou paladin)",Dungeon Master´s Guide (SRD)
142,Cor de dévastation,cor-de-devastation ,"Vous pouvez utiliser une action pour prononcer le mot de commande du cor puis souffler dedans. Le cor produit alors une explosion tonitruante dans un cône de 9 mètres et qui est audible à 180 mètres à la ronde. Chaque créature présente dans le cône doit effectuer un jet de sauvegarde de Constitution DD 15. En cas d'échec, une créature subit 5d6 dégâts de tonnerre et est assourdie pendant 1 minute. En cas de réussite au jet, une créature ne subit que la moitié des dégâts et n'est pas assourdie. Les créatures et les objets faits de verre ou de cristal ont un désavantage à leur jet de sauvegarde et subissent 10d6 dégâts de tonnerre au lieu de 5d6.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
