Id,Nom,Type,Taille,Alignement,CA,PV,Force,Dexterite,Constitution,Intelligence,Sagesse,Charisme,Competences,Jets de sauvegarde,Immunités aux dégâts,Résistances aux dégâts,Immunités aux états,Sens,Langues,FP
94,Djinn,Élémentaire , G, chaotique bon, 17 (armure naturelle),161 (14d10 + 84),21 (+5),15 (+2),22 (+6),15 (+2),16 (+3),20 (+5),," Dex +6, Sag +7, Cha +9"," foudre, tonnerre",,," vision dans le noir 36 m, Perception passive 13", aérien, 11 (7200 PX)
95,Doppelganger,Monstruosité (métamorphe) , M, neutre, 14,52 (8d8 + 16),11 (+0),18 (+4),14 (+2),11 (+0),12 (+1),14 (+2)," Intuition +3, Tromperie +6",,,, charmé," vision dans le noir 18 m, Perception passive 11", commun, 3 (700 PX)
96,"Dracoliche bleue, adulte",Mort-vivant , TG, loyal mauvais, 19 (armure naturelle),225 (18d12 + 108),25 (+7),10 (+0),23 (+6),16 (+3),15 (+2),19 (+4)," Discrétion +6, Perception +14"," Dex +6, Con +12, Sag +8, Cha +10"," foudre, poison", nécrotique," charmé, épuisement, effrayé, paralysé, empoisonné"," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 24"," commun, draconique", 17 (18000 PX)
97,"Dragon blanc, adulte",Dragon (chromatique) , TG, chaotique mauvais, 18 (armure naturelle),200 (16d12 + 96),22 (+6),10 (+0),22 (+6),8 (-1),12 (+1),12 (+1)," Discrétion +5, Perception +11"," Dex +5, Con +11, Sag +6, Cha +6", froid,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 21"," commun, draconique", 13 (10000 PX)
98,"Dragon blanc, ancien",Dragon (chromatique) , Gig, chaotique mauvais, 20 (armure naturelle),333 (18d20 + 144),26 (+8),10 (+0),26 (+8),10 (+0),13 (+1),14 (+2)," Discrétion +6, Perception +13"," Dex +6, Con +14, Sag +7, Cha +8", froid,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 23"," commun, draconique", 20 (25000 PX)
99,"Dragon blanc, dragonnet",Dragon (chromatique) , M, chaotique mauvais, 16 (armure naturelle),32 (5d8 + 10),14 (+2),10 (+0),14 (+2),5 (-3),10 (+0),11 (+0)," Discrétion +2, Perception +4"," Dex +2, Con +4, Sag +2, Cha +2", froid,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 2 (450 PX)
100,"Dragon blanc, jeune",Dragon (chromatique) , G, chaotique mauvais, 17 (armure naturelle),133 (14d10 + 56),18 (+4),10 (+0),18 (+4),6 (-2),11 (+0),12 (+1)," Discrétion +3, Perception +6"," Dex +3, Con +7, Sag +3, Cha +4", froid,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 16"," commun, draconique", 6 (2300 PX)
101,"Dragon bleu, adulte",Dragon (chromatique) , TG, loyal mauvais, 19 (armure naturelle),225 (18d12 + 108),25 (+7),10 (+0),23 (+6),16 (+3),15 (+2),19 (+4)," Discrétion +5, Perception +12"," Dex +5, Con +11, Sag +7, Cha +9", foudre,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 22"," commun, draconique", 16 (15000 PX)
102,"Dragon bleu, ancien",Dragon (chromatique) , Gig, loyal mauvais, 22 (armure naturelle),481 (26d20 + 208),29 (+9),10 (+0),27 (+8),18 (+4),17 (+3),21 (+5)," Discrétion +7, Perception +17"," Dex +7, Con +15, Sag +10, Cha +12", foudre,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 27"," commun, draconique", 23 (50000 PX)
103,"Dragon bleu, dragonnet",Dragon (chromatique) , M, loyal mauvais, 17 (armure naturelle),52 (8d8 + 16),17 (+3),10 (+0),15 (+2),12 (+1),11 (+0),15 (+2)," Discrétion +2, Perception +4"," Dex +2, Con +4, Sag +2, Cha +4", foudre,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 3 (700 PX)
104,"Dragon bleu, jeune",Dragon (chromatique) , G, loyal mauvais, 18 (armure naturelle),152 (16d10 + 64),21 (+5),10 (+0),19 (+4),14 (+2),13 (+1),17 (+3)," Discrétion +4, Perception +9"," Dex +4, Con +8, Sag +5, Cha +7", foudre,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 19"," commun, draconique", 9 (5000 PX)
105,"Dragon d'airain, adulte",Dragon (métallique) , TG, chaotique bon, 18 (armure naturelle),172 (15d12 + 75),23 (+6),10 (+0),21 (+5),14 (+2),13 (+1),17 (+3)," Discrétion +5, Histoire +7, Perception +11, Persuasion +8"," Dex +5, Con +10, Sag +6, Cha +8", feu,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 21"," commun, draconique", 13 (10000 PX)
106,"Dragon d'airain, ancien",Dragon (métallique) , Gig, chaotique bon, 20 (armure naturelle),297 (17d20 + 119),27 (+8),10 (+0),25 (+7),16 (+3),15 (+2),19 (+4)," Discrétion +6, Histoire +9, Perception +14, Persuasion +10"," Dex +6, Con +13, Sag +8, Cha +10", feu,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 24"," commun, draconique", 20 (25000 PX)
107,"Dragon d'airain, dragonnet",Dragon (métallique) , M, chaotique bon, 16 (armure naturelle),16 (3d8 + 3),15 (+2),10 (+0),13 (+1),10 (+0),11 (+0),13 (+1)," Discrétion +2, Perception +4"," Dex +2, Con +3, Sag +2, Cha +3", feu,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 1 (200 PX)
108,"Dragon d'airain, jeune",Dragon (métallique) , G, chaotique bon, 17 (armure naturelle),110 (13d10 + 39),19 (+4),10 (+0),17 (+3),12 (+1),11 (+0),15 (+2)," Discrétion +3, Perception +6, Persuasion +5"," Dex +3, Con +6, Sag +3, Cha +5", feu,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 16"," commun, draconique", 6 (2300 PX)
109,"Dragon d'argent, adulte",Dragon (métallique) , TG, loyal bon, 19 (armure naturelle),243 (18d12 + 126),27 (+8),10 (+0),25 (+7),16 (+3),13 (+1),21 (+5)," Arcanes +8, Discrétion +5, Histoire +8, Perception +11"," Dex +5, Con +12, Sag +6, Cha +10", froid,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 21"," commun, draconique", 16 (15000 PX)
110,"Dragon d'argent, ancien",Dragon (métallique) , Gig, loyal bon, 22 (armure naturelle),487 (25d20 + 225),30 (+10),10 (+0),29 (+9),18 (+4),15 (+2),23 (+6)," Arcanes +11, Discrétion +7, Histoire +11, Perception +16"," Dex +7, Con +16, Sag +9, Cha +13", froid,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 26"," commun, draconique", 23 (50000 PX)
111,"Dragon d'argent, dragonnet",Dragon (métallique) , M, loyal bon, 17 (armure naturelle),45 (6d8 + 18),19 (+4),10 (+0),17 (+3),12 (+1),11 (+0),15 (+2)," Discrétion +2, Perception +4"," Dex +2, Con +5, Sag +2, Cha +4", froid,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 2 (450 PX)
112,"Dragon d'argent, jeune",Dragon (métallique) , G, loyal bon, 18 (armure naturelle),168 (16d10 + 80),23 (+6),10 (+0),21 (+5),14 (+2),11 (+0),19 (+4)," Arcanes +6, Discrétion +4, Histoire +6, Perception +8"," Dex +4, Con +9, Sag +4, Cha +8", froid,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 18"," commun, draconique", 9 (5000 PX)
113,"Dragon d'ombre rouge, jeune",Dragon , G, chaotique mauvais, 18 (armure naturelle),178 (17d10 + 85),23 (+6),10 (+0),21 (+5),14 (+2),11 (+0),19 (+4)," Discrétion +8, Perception +8"," Dex +4, Con +9, Sag +4, Cha +8", feu, nécrotique,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 18"," commun, draconique", 13 (10000 PX)
114,"Dragon d'or, adulte",Dragon (métallique) , TG, loyal bon, 19 (armure naturelle),256 (19d12 + 133),27 (+8),14 (+2),25 (+7),16 (+3),15 (+2),24 (+7)," Discrétion +8, Intuition +8, Perception +14, Persuasion +13"," Dex +8, Con +13, Sag +8, Cha +13", feu,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 24"," commun, draconique", 17 (18000 PX)
115,"Dragon d'or, ancien",Dragon (métallique) , Gig, loyal bon, 22 (armure naturelle),546 (28d20 + 252),30 (+10),14 (+2),29 (+9),18 (+4),17 (+3),28 (+9)," Discrétion +9, Intuition +10, Perception +17, Persuasion +16"," Dex +9, Con +16, Sag +10, Cha +16", feu,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 27"," commun, draconique", 24 (62000 PX)
116,"Dragon d'or, dragonnet",Dragon (métallique) , M, loyal bon, 17 (armure naturelle),60 (8d8 + 24),19 (+4),14 (+2),17 (+3),14 (+2),11 (+0),16 (+3)," Discrétion +4, Perception +4"," Dex +4, Con +5, Sag +2, Cha +5", feu,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 3 (700 PX)
117,"Dragon d'or, jeune",Dragon (métallique) , G, loyal bon, 18 (armure naturelle),178 (17d10 + 85),23 (+6),14 (+2),21 (+5),16 (+3),13 (+1),20 (+5)," Discrétion +6, Intuition +5, Perception +9, Persuasion +9"," Dex +6, Con +9, Sag +5, Cha +9", feu,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 19"," commun, draconique", 10 (5900 PX)
118,"Dragon de bronze, adulte",Dragon (métallique) , TG, loyal bon, 19 (armure naturelle),212 (17d12 + 102),25 (+7),10 (+0),23 (+6),16 (+3),15 (+2),19 (+4)," Discrétion +5, Intuition +7, Perception +12"," Dex +5, Con +11, Sag +7, Cha +9", foudre,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 22"," commun, draconique", 15 (13000 PX)
119,"Dragon de bronze, ancien",Dragon (métallique) , Gig, loyal bon, 22 (armure naturelle),444 (24d20 + 192),29 (+9),10 (+0),27 (+8),18 (+4),17 (+3),21 (+5)," Discrétion +7, Intuition +10, Perception +17"," Dex +7, Con +15, Sag +10, Cha +12", foudre,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 27"," commun, draconique", 22 (41000 PX)
120,"Dragon de bronze, dragonnet",Dragon (métallique) , M, loyal bon, 17 (armure naturelle),32 (5d8 + 10),17 (+3),10 (+0),15 (+2),12 (+1),11 (+0),15 (+2)," Discrétion +2, Perception +4"," Dex +2, Con +4, Sag +2, Cha +4", foudre,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 2 (450 PX)
121,"Dragon de bronze, jeune",Dragon (métallique) , G, loyal bon, 18 (armure naturelle),142 (15d10 + 60),21 (+5),10 (+0),19 (+4),14 (+2),13 (+1),17 (+3)," Discrétion +3, Intuition +4, Perception +7"," Dex +3, Con +7, Sag +4, Cha +6", foudre,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 17"," commun, draconique", 8 (3900 PX)
122,"Dragon de cuivre, adulte",Dragon (métallique) , TG, chaotique bon, 18 (armure naturelle),184 (16d12 + 80),23 (+6),12 (+1),21 (+5),18 (+4),15 (+2),17 (+3)," Discrétion +6, Perception +12, Tromperie +8"," Dex +6, Con +10, Sag +7, Cha +8", acide,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 22"," commun, draconique", 14 (11500 PX)
123,"Dragon de cuivre, ancien",Dragon (métallique) , Gig, chaotique bon, 21 (armure naturelle),350 (20d20 + 140),27 (+8),12 (+1),25 (+7),20 (+5),17 (+3),19 (+4)," Discrétion +8, Perception +17, Tromperie +11"," Dex +8, Con +14, Sag +10, Cha +11", acide,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 27"," commun, draconique", 21 (33000 PX)
124,"Dragon de cuivre, dragonnet",Dragon (métallique) , M, chaotique bon, 16 (armure naturelle),22 (4d8 + 4),15 (+2),12 (+1),13 (+1),14 (+2),11 (+0),13 (+1)," Discrétion +3, Perception +4"," Dex +3, Con +3, Sag +2, Cha +3", acide,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 1 (200 PX)
125,"Dragon de cuivre, jeune",Dragon (métallique) , G, chaotique bon, 17 (armure naturelle),119 (14d10 + 42),19 (+4),12 (+1),17 (+3),16 (+3),13 (+1),15 (+2)," Discrétion +4, Perception +7, Tromperie +5"," Dex +4, Con +6, Sag +4, Cha +5", acide,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 17"," commun, draconique", 7 (2900 PX)
126,Dragon féerique,Dragon , TP, chaotique bon, 15,14 (4d4 + 4),3 (-4),20 (+5),13 (+1),14 (+2),12 (+1),16 (+3)," Arcanes +4, Discrétion +7, Perception +3",,,,," vision dans le noir 18 m, Perception passive 13"," draconique, sylvestre", 1 (200 PX)
127,"Dragon noir, adulte",Dragon (chromatique) , TG, chaotique mauvais, 19 (armure naturelle),195 (17d12 + 85),23 (+6),14 (+2),21 (+5),14 (+2),13 (+1),17 (+3)," Discrétion +7, Perception +11"," Dex +7, Con +10, Sag +6, Cha +8", acide,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 21"," commun, draconique", 14 (11500 PX)
128,"Dragon noir, ancien",Dragon (chromatique) , Gig, chaotique mauvais, 22 (armure naturelle),367 (21d20 + 147),27 (+8),14 (+2),25 (+7),16 (+3),15 (+2),19 (+4)," Discrétion +9, Perception +16"," Dex +9, Con +14, Sag +9, Cha +11", acide,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 26"," commun, draconique", 21 (33000 PX)
129,"Dragon noir, dragonnet",Dragon (chromatique) , M, chaotique mauvais, 17 (armure naturelle),33 (6d8 + 6),15 (+2),14 (+2),13 (+1),10 (+0),11 (+0),13 (+1)," Perception +4, Discrétion +4"," Dex +4, Con +3, Sag +2, Cha +3", acide,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 2 (450 PX)
130,"Dragon noir, jeune",Dragon (chromatique) , G, chaotique mauvais, 18 (armure naturelle),127 (15d10 + 45),19 (+4),14 (+2),17 (+3),12 (+1),11 (+0),15 (+2)," Discrétion +5, Perception +6"," Dex +5, Con +6, Sag +3, Cha +5", acide,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 16"," commun, draconique", 7 (2900 PX)
131,"Dragon rouge, adulte",Dragon (chromatique) , TG, chaotique mauvais, 19 (armure naturelle),256 (19d12 + 133),27 (+8),10 (+0),25 (+7),16 (+3),13 (+1),21 (+5)," Discrétion +6, Perception +13"," Dex +6, Con +13, Sag +7, Cha +11", feu,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 23"," commun, draconique", 17 (18000 PX)
132,"Dragon rouge, ancien",Dragon (chromatique) , Gig, chaotique mauvais, 22 (armure naturelle),546 (28d20 + 252),30 (+10),10 (+0),29 (+9),18 (+4),15 (+2),23 (+6)," Discrétion +7, Perception +16"," Dex +7, Con +16, Sag +9, Cha +13", feu,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 26"," commun, draconique", 24 (62000 PX)
133,"Dragon rouge, dragonnet",Dragon (chromatique) , M, chaotique mauvais, 17 (armure naturelle),75 (10d8 + 30),19 (+4),10 (+0),17 (+3),12 (+1),11 (+0),15 (+2)," Discrétion +2, Perception +4"," Dex +2, Con +5, Sag +2, Cha +4", feu,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 4 (1100 PX)
134,"Dragon rouge, jeune",Dragon (chromatique) , G, chaotique mauvais, 18 (armure naturelle),178 (17d10 + 85),23 (+6),10 (+0),21 (+5),14 (+2),11 (+0),19 (+4)," Discrétion +4, Perception +8"," Dex +4, Con +9, Sag +4, Cha +8", feu,,," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 18"," commun, draconique", 10 (5900 PX)
135,"Dragon vert, adulte",Dragon (chromatique) , TG, loyal mauvais, 19 (armure naturelle),207 (18d12 + 90),23 (+6),12 (+1),21 (+5),18 (+4),15 (+2),17 (+3)," Discrétion +6, Intuition +7, Perception +12, Persuasion +8, Tromperie +8"," Dex +6, Con +10, Sag +7, Cha +8", poison,, empoisonné," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 22"," commun, draconique", 15 (13000 PX)
136,"Dragon vert, ancien",Dragon (chromatique) , Gig, loyal mauvais, 21 (armure naturelle),385 (22d20 + 154),27 (+8),12 (+1),25 (+7),20 (+5),17 (+3),19 (+4)," Discrétion +8, Intuition +10, Perception +17, Persuasion +11, Tromperie +11"," Dex +8, Con +14, Sag +10, Cha +11", poison,, empoisonné," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 27"," commun, draconique", 22 (41000 PX)
137,"Dragon vert, dragonnet",Dragon (chromatique) , M, loyal mauvais, 17 (armure naturelle),38 (7d8 + 7),15 (+2),12 (+1),13 (+1),14 (+2),11 (+0),13 (+1)," Discrétion +3, Perception +4"," Dex +3, Con +3, Sag +2, Cha +3", poison,, empoisonné," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 14", draconique, 2 (450 PX)
138,"Dragon vert, jeune",Dragon (chromatique) , G, loyal mauvais, 18 (armure naturelle),136 (16d10 + 48),19 (+4),12 (+1),17 (+3),16 (+3),13 (+1),15 (+2)," Discrétion +4, Perception +7, Tromperie +5"," Dex +4, Con +6, Sag +4, Cha +5", poison,, empoisonné," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 17"," commun, draconique", 8 (3900 PX)
139,Dragon-tortue,Dragon , Gig, neutre, 20 (armure naturelle),341 (22d20 + 110),25 (+7),10 (+0),20 (+5),10 (+0),12 (+1),12 (+1),," Dex +6, Con +11, Sag +7",, feu,," vision dans le noir 36 m, Perception passive 11"," aquatique, draconique", 17 (18000 PX)
140,Dretch,Fiélon (démon) , P, chaotique mauvais, 11 (armure naturelle),18 (4d6 + 4),11 (+0),11 (+0),12 (+1),5 (-3),8 (-1),3 (-4),,, poison," froid, feu, foudre", empoisonné," vision dans le noir 18 m, Perception passive 9"," abyssal, télépathie 18 m (ne fonctionne qu'avec les créatures qui comprennent l'abyssal)", 1/4 (50 PX)
141,Drider,Monstruosité , G, chaotique mauvais, 19 (armure naturelle),123 (13d10 + 52),16 (+3),16 (+3),18 (+4),13 (+1),14 (+2),12 (+1)," Discrétion +9, Perception +5",,,,," vision dans le noir 36 m, Perception passive 15"," elfique, commun des profondeurs", 6 (2300 PX)
142,Drow,Humanoïde (elfe) , M, neutre mauvais, 15 (chemise de mailles),13 (3d8),10 (+0),14 (+2),10 (+0),11 (+0),11 (+0),12 (+1)," Discrétion +4, Perception +2",,,,," vision dans le noir 36 m, Perception passive 12"," elfique, commun des profondeurs", 1/4 (50 PX)
143,"Drow, guerrier d'élite",Humanoïde (elfe) , M, neutre mauvais," 18 (armure de cuir clouté, bouclier)",71 (11d8 + 22),13 (+1),18 (+4),14 (+2),11 (+0),13 (+1),12 (+1)," Discrétion +10, Perception +4"," Dex +7, Con +5, Sag +4",,,," vision dans le noir 36 m, Perception passive 14"," elfique, commun des profondeurs", 5 (1800 PX)
144,"Drow, mage",Humanoïde (elfe) , M, neutre mauvais," 12 (15 avec <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=armure-de-mage"">armure de mage</a></em>)",45 (10d8),9 (-1),14 (+2),10 (+0),17 (+3),13 (+1),12 (+1)," Arcanes +6, Discrétion +5, Perception +4, Tromperie +5",,,,," vision dans le noir 36 m, Perception passive 14"," elfique, commun des profondeurs", 7 (2900 PX)
145,"Drow, prêtresse de Lolth",Humanoïde (elfe) , M, neutre mauvais, 16 (armure d'écailles),71 (13d8 + 13),10 (+0),14 (+2),12 (+1),13 (+1),17 (+3),18 (+4)," Discrétion +5, Intuition +6, Perception +6, Religion +4"," Con +4, Sag +6, Cha +7",,,," vision dans le noir 36 m, Perception passive 16"," elfique, commun des profondeurs", 8 (3900 PX)
146,Druide,Humanoïde (toute race) , M, tout alignement, 11 (16 avec <em>peau d'écorce</em>),27 (5d8 + 5),10 (+0),12 (+1),13 (+1),12 (+1),15 (+2),11 (+0)," Médecine +4, Nature +3, Perception +4",,,,, Perception passive 14, druidique plus deux langues au choix, 2 (450 PX)
147,Dryade,Fée , M, neutre, 11 (16 avec <em>peau d'écorce</em>),22 (5d8),10 (+0),12 (+1),11 (+0),14 (+2),15 (+2),18 (+4)," Discrétion +5, Perception +4",,,,," vision dans le noir 18 m, Perception passive 14"," elfique, sylvestre", 1 (200 PX)
148,Duergar,Humanoïde (nain) , M, loyal mauvais," 16 (armure d'écailles, bouclier)",26 (4d8 + 8),14 (+2),11 (+0),14 (+2),11 (+0),10 (+0),9 (-1),,,, poison,," vision dans le noir 36 m, Perception passive 10"," nain, commun des profondeurs", 1 (200 PX)
149,Duodrone,Artificiel , M, loyal neutre, 15 (armure naturelle),11 (2d8 + 2),11 (+0),13 (+1),12 (+1),6 (-2),10 (+0),7 (-2),,,,,," vision véritable 36 m, Perception passive 10", modron, 1/4 (50 PX)
150,Éclaireur,Humanoïde (toute race) , M, tout alignement, 13 (armure de cuir),16 (3d8 + 3),11 (+0),14 (+2),12 (+1),11 (+0),13 (+1),11 (+0)," Discrétion +6, Nature +4, Perception +5, Survie +5",,,,, Perception passive 15, une langue au choix (généralement le commun), 1/2 (100 PX)
151,Éfrit,Élémentaire , G, loyal mauvais, 17 (armure naturelle),200 (16d10 + 112),22 (+6),12 (+1),24 (+7),16 (+3),15 (+2),16 (+3),," Int +7, Sag +6, Cha +7", feu,,," vision dans le noir 36 m, Perception passive 12", igné, 11 (7200 PX)
152,Élan,Bête , G, sans alignement, 10,13 (2d10 + 2),16 (+3),10 (+0),12 (+1),2 (-4),10 (+0),6 (-2),,,,,, Perception passive 10, —, 1/4 (50 PX)
153,Élan géant,Bête , TG, sans alignement, 14 (armure naturelle),42 (5d12 + 10),19 (+4),16 (+3),14 (+2),7 (-2),14 (+2),10 (+0), Perception +4,,,,, Perception passive 14," Un élan géant comprend le commun, l'elfique et le sylvestre mais ne peut pas les parler", 2 (450 PX)
154,Élémentaire de l'air,Élémentaire , G, neutre, 15,90 (12d10 + 24),14 (+2),20 (+5),14 (+2),6 (-2),10 (+0),6 (-2),,, poison," foudre, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," à terre, empoisonné, agrippé, entravé, épuisement, inconscient, paralysé, pétrifié"," vision dans le noir 18 m, Perception passive 10", aérien, 5 (1800 PX)
155,Élémentaire de l'eau,Élémentaire , G, neutre, 14 (armure naturelle),114 (12d10 + 48),18 (+4),14 (+2),18 (+4),5 (-3),10 (+0),8 (-1),,, poison," acide ; contondant, perforant et tranchant d'attaques non magiques"," épuisement, agrippé, paralysé, pétrifié, empoisonné, à terre, entravé, inconscient"," vision dans le noir 18 m, Perception passive 10", aquatique, 5 (1800 PX)
156,Élémentaire de la terre,Élémentaire , G, neutre, 17 (armure naturelle),126 (12d10 + 60),20 (+5),8 (-1),20 (+5),5 (-3),10 (+0),5 (-3),,, poison," contondant, perforant et tranchant d'attaques non magiques"," épuisement, paralysé, pétrifié, empoisonné, inconscient"," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 10", terreux, 5 (1800 PX)
157,Élémentaire du feu,Élémentaire , G, neutre, 13,102 (12d10 + 36),10 (+0),17 (+3),16 (+3),6 (-2),10 (+0),7 (-2),,," feu, poison"," contondant, perforant et tranchant d'attaques non magiques"," à terre, empoisonné, agrippé, entravé, épuisement, inconscient, paralysé, pétrifié"," vision dans le noir 18 m, Perception passive 10", igné, 5 (1800 PX)
158,Éléphant,Bête , TG, sans alignement, 12 (armure naturelle),76 (8d12 + 24),22 (+6),9 (-1),17 (+3),3 (-4),11 (+0),6 (-2),,,,,, Perception passive 10, —, 4 (1100 PX)
159,Empyréen,Céleste (titan) , TG, chaotique bon (75 %) ou neutre mauvais (25 %), 22 (armure naturelle),313 (19d12 + 190),30 (+10),21 (+5),30 (+10),21 (+5),22 (+6),27 (+8)," Intuition +13, Persuasion +15"," For +17, Int +12, Sag +13, Cha +15"," contondant, perforant, ou tranchant d'attaques non magiques",,," vision véritable 36 m, Perception passive 16", toutes, 23 (50000 PX)
160,Enlaceur,Monstruosité , G, neutre mauvais, 20 (armure naturelle),93 (11d10 + 33),18 (+4),8 (-1),17 (+3),7 (-2),16 (+3),6 (-2)," Discrétion +5, Perception +6",,,,," vision dans le noir 18 m, Perception passive 16", —, 5 (1800 PX)
161,Épaulard,Bête , TG, sans alignement, 12 (armure naturelle),90 (12d12 + 12),19 (+4),10 (+0),13 (+1),3 (-4),12 (+1),7 (-2), Perception +3,,,,," vision aveugle 36 m, Perception passive 13", —, 3 (700 PX)
162,Épée volante,Artificiel , P, sans alignement, 17 (armure naturelle),17 (5d6),12 (+1),15 (+2),11 (+0),1 (-5),5 (-3),1 (-5),, Dex +4," poison, psychique",," assourdi, aveuglé, charmé, effrayé, empoisonné, paralysé, pétrifié"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 7", —, 1/4 (50 PX)
163,Épouvantail,Artificiel , M, chaotique mauvais, 11,36 (8d8),11 (+0),13 (+1),11 (+0),10 (+0),10 (+0),13 (+1),,, poison," contondant, perforant et tranchant d'attaques non magiques"," charmé, épuisement, effrayé, paralysé, empoisonné, inconscient"," vision dans le noir 18 m, Perception passive 10", comprend les langues de son créateur mais ne peut pas parler, 1 (200 PX)
164,Érinye,Fiélon (diable) , M, loyal mauvais, 18 (harnois),153 (18d8 + 72),18 (+4),16 (+3),18 (+4),14 (+2),14 (+2),18 (+4),," Dex +7, Con +8, Sag +6, Cha +8"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision véritable 36 m, Perception passive 12"," infernal, télépathie 36 m", 12 (8400 PX)
165,Espion,Humanoïde (toute race) , M, tout alignement, 12,27 (6d8),10 (+0),15 (+2),10 (+0),12 (+1),14 (+2),16 (+3)," Discrétion +4, Escamotage +4, Intuition +4, Investigation +5, Perception +6, Persuasion +5, Tromperie +5",,,,, Perception passive 16, deux langues au choix, 1 (200 PX)
166,Esprit follet,Fée , TP, neutre bon, 15 (armure de cuir),2 (1d4),3 (-4),18 (+4),10 (+0),14 (+2),13 (+1),11 (+0)," Discrétion +8, Perception +3",,,,, Perception passive 13," commun, elfique, sylvestre", 1/4 (50 PX)
167,Ettercap,Monstruosité , M, neutre mauvais, 13 (armure naturelle),44 (8d8 + 8),14 (+2),15 (+2),13 (+1),7 (-2),12 (+1),8 (-1)," Discrétion +4, Perception +3, Survie +3",,,,," vision dans le noir 18 m, Perception passive 13", —, 2 (450 PX)
168,Ettin,Géant , G, chaotique mauvais, 12 (armure naturelle),85 (10d10 + 30),21 (+5),8 (-1),17 (+3),6 (-2),10 (+0),8 (-1), Perception +4,,,,," vision dans le noir 18 m, Perception passive 14"," géant, orc", 4 (1100 PX)
169,Fanatique,Humanoïde (toute race) , M, tout alignement non bon, 13 (armure de cuir),33 (6d8 + 6),11 (+0),14 (+2),12 (+1),10 (+0),13 (+1),14 (+2)," Persuasion +4, Religion +2, Tromperie +4",,,,, Perception passive 11, une langue au choix (généralement le commun), 2 (450 PX)
170,Fantôme,Mort-vivant , M, tout alignement, 11,45 (10d8),7 (-2),13 (+1),10 (+0),10 (+0),12 (+1),17 (+3),,," froid, nécrotique, poison"," acide, foudre, feu, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," à terre, charmé, empoisonné, agrippé, entravé, épuisement, paralysé, pétrifié, effrayé"," vision dans le noir 18 m, Perception passive 11", les langues qu'il connaissait de son vivant, 4 (1100 PX)
171,Faucon,Bête , TP, sans alignement, 13,1 (1d4 - 1),5 (-3),16 (+3),8 (-1),2 (-4),14 (+2),6 (-2), Perception +4,,,,, Perception passive 14, —, 0 (10 PX)
172,Faucon de sang,Bête , P, sans alignement, 12,7 (2d6),6 (-2),14 (+2),10 (+0),3 (-4),14 (+2),5 (-3), Perception +4,,,,, Perception passive 14, —, 1/8 (25 PX)
